# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
405	2061.08	3.25	0	0	0.00
406	2064.07	3.00	0	0	0.00
407	2067.60	3.53	0	0	0.00
408	2070.75	3.14	0	0	0.00
409	2074.15	3.40	0	0	0.00
410	2077.71	3.56	0	0	0.00
411	2080.80	3.10	0	0	0.00
412	2084.34	3.53	0	0	0.00
413	2087.42	3.08	0	0	0.00
414	2090.77	3.35	0	0	0.00
415	2094.12	3.34	0	0	0.00
416	2097.46	3.34	0	0	0.00
417	2101.07	3.61	0	0	0.00
418	2104.11	3.04	0	0	0.00
419	2107.57	3.46	0	0	0.00
420	2110.75	3.18	0	0	0.00
421	2114.06	3.31	0	0	0.00
422	2117.65	3.59	0	0	0.00
423	2120.75	3.10	0	0	0.00
424	2124.09	3.34	0	0	0.00
425	2127.67	3.58	0	0	0.00
426	2130.75	3.09	0	0	0.00
427	2180.31	49.56	0	0	0.00
428	2288.43	108.12	0	0	0.00
429	2397.83	109.40	0	0	0.00
430	2400.78	2.95	0	0	0.00
431	2424.57	23.79	0	0	0.00
432	2468.97	44.40	0	0	0.00
433	2491.60	22.63	0	0	0.00
434	2493.41	1.81	0	0	0.00
435	2495.13	1.72	0	0	0.00
436	2497.44	2.30	0	0	0.00
437	2500.73	3.29	0	0	0.00
438	2504.09	3.36	0	0	0.00
439	2507.54	3.45	0	0	0.00
440	2510.74	3.20	0	0	0.00
441	2514.16	3.42	0	0	0.00
442	2517.46	3.30	0	0	0.00
443	2520.72	3.26	0	0	0.00
444	2524.09	3.37	0	0	0.00
445	2527.53	3.45	0	0	0.00
446	2530.75	3.22	0	0	0.00
447	2534.12	3.37	0	0	0.00
448	2537.43	3.31	0	0	0.00
449	2540.80	3.37	0	0	0.00
450	2544.07	3.27	0	0	0.00
451	2547.54	3.47	0	0	0.00
452	2550.72	3.18	0	0	0.00
453	2554.11	3.39	0	0	0.00
454	2557.38	3.28	0	0	0.00
455	2560.75	3.36	0	0	0.00
456	2564.07	3.32	0	0	0.00
457	2567.55	3.47	0	0	0.00
458	2570.72	3.17	0	0	0.00
459	2574.10	3.38	0	0	0.00
460	2577.56	3.45	0	0	0.00
461	2580.72	3.17	0	0	0.00
462	2584.05	3.32	0	0	0.00
463	2587.51	3.47	0	0	0.00
464	2612.21	24.69	0	0	0.00
465	2614.53	2.32	0	0	0.00
466	2619.06	4.53	0	0	0.00
467	2620.80	1.74	0	0	0.00
468	2624.08	3.27	0	0	0.00
469	2627.55	3.47	0	0	0.00
470	2630.75	3.20	0	0	0.00
471	2634.17	3.42	0	0	0.00
472	2637.41	3.24	0	0	0.00
473	2640.80	3.39	0	0	0.00
474	2644.13	3.34	0	0	0.00
475	2647.51	3.38	0	0	0.00
476	2650.77	3.26	0	0	0.00
477	2654.07	3.30	0	0	0.00
478	2657.49	3.42	0	0	0.00
479	2660.86	3.37	0	0	0.00
480	2664.05	3.19	0	0	0.00
481	2667.51	3.46	0	0	0.00
482	2670.81	3.30	0	0	0.00
483	2674.18	3.37	0	0	0.00
484	2677.49	3.31	0	0	0.00
485	2680.89	3.40	0	0	0.00
486	2684.08	3.19	0	0	0.00
487	2687.47	3.39	0	0	0.00
488	2690.76	3.28	0	0	0.00
489	2694.07	3.32	0	0	0.00
490	2697.49	3.42	0	0	0.00
491	2700.73	3.24	0	0	0.00
492	2704.11	3.38	0	0	0.00
493	2707.52	3.40	0	0	0.00
494	2710.84	3.32	0	0	0.00
495	2734.80	23.96	0	0	0.00
496	2737.37	2.57	0	0	0.00
497	2740.89	3.51	0	0	0.00
498	2744.09	3.20	0	0	0.00
499	2747.39	3.30	0	0	0.00
500	2750.73	3.33	0	0	0.00
501	2754.30	3.57	0	0	0.00
502	2757.58	3.28	0	0	0.00
503	2760.93	3.36	0	0	0.00
504	2764.04	3.11	0	0	0.00
505	2767.55	3.51	0	0	0.00
506	2770.87	3.31	0	0	0.00
507	2774.08	3.21	0	0	0.00
508	2777.40	3.32	0	0	0.00
509	2780.87	3.47	0	0	0.00
510	2784.17	3.30	0	0	0.00
511	2787.41	3.24	0	0	0.00
512	2790.83	3.43	0	0	0.00
513	2794.14	3.31	0	0	0.00
514	2797.40	3.27	0	0	0.00
515	2800.76	3.36	0	0	0.00
516	2804.12	3.35	0	0	0.00
517	2807.39	3.28	0	0	0.00
518	2810.74	3.35	0	0	0.00
519	2814.06	3.32	0	0	0.00
520	2817.60	3.54	0	0	0.00
521	2820.95	3.34	0	0	0.00
522	2824.11	3.16	0	0	0.00
523	2827.40	3.29	0	0	0.00
524	2830.80	3.40	0	0	0.00
525	2855.41	24.61	0	0	0.00
526	2857.14	1.73	0	0	0.00
527	2858.86	1.72	0	0	0.00
528	2860.86	2.00	0	0	0.00
529	2929.69	68.82	0	0	0.00
530	3103.28	173.59	0	0	0.00
531	3143.02	39.74	0	0	0.00
532	3145.02	2.00	0	0	0.00
533	3147.44	2.42	0	0	0.00
534	3150.79	3.36	0	0	0.00
535	3154.24	3.45	0	0	0.00
536	3157.58	3.33	0	0	0.00
537	3160.94	3.36	0	0	0.00
538	3164.28	3.34	0	0	0.00
539	3167.58	3.30	0	0	0.00
540	3170.93	3.35	0	0	0.00
541	3174.12	3.19	0	0	0.00
542	3219.28	45.16	0	0	0.00
543	3222.54	3.26	0	0	0.00
544	3224.45	1.91	0	0	0.00
545	3227.42	2.97	0	0	0.00
546	3230.91	3.49	0	0	0.00
547	3234.12	3.20	0	0	0.00
548	3237.52	3.40	0	0	0.00
549	3240.80	3.28	0	0	0.00
550	3244.10	3.30	0	0	0.00
551	3247.40	3.30	0	0	0.00
552	3250.90	3.50	0	0	0.00
553	3254.12	3.22	0	0	0.00
554	3257.55	3.42	0	0	0.00
555	3260.82	3.27	0	0	0.00
556	3264.09	3.27	0	0	0.00
557	3267.39	3.31	0	0	0.00
558	3270.93	3.54	0	0	0.00
559	3274.08	3.15	0	0	0.00
560	3277.48	3.40	0	0	0.00
561	3280.80	3.32	0	0	0.00
562	3284.16	3.37	0	0	0.00
563	3287.48	3.32	0	0	0.00
564	3290.83	3.35	0	0	0.00
565	3295.67	4.83	0	0	0.00
566	3297.42	1.75	0	0	0.00
567	3300.89	3.47	0	0	0.00
568	3304.15	3.27	0	0	0.00
569	3307.43	3.28	0	0	0.00
570	3310.94	3.51	0	0	0.00
571	3314.11	3.17	0	0	0.00
